S.no,Reviews
1765,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1766,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1767,Airtel DTH are good but Technician service totally bad...
1768,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1769,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1770,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1771,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1772,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1773,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1774,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1775,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1776,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1777,Airtel DTH are good but Technician service totally bad...
1778,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1779,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1780,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1781,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1782,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1783,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1784,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1785,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1786,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1787,Airtel DTH are good but Technician service totally bad...
1788,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1789,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1790,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1791,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1792,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1793,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1794,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1795,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1796,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1797,Airtel DTH are good but Technician service totally bad...
1798,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1799,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1800,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1801,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1802,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1803,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1804,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1805,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1806,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1807,Airtel DTH are good but Technician service totally bad...
1808,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1809,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1810,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1811,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1812,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1813,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1814,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1815,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1816,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1817,Airtel DTH are good but Technician service totally bad...
1818,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1819,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1820,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1821,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1822,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1823,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1824,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1825,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1826,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1827,Airtel DTH are good but Technician service totally bad...
1828,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1829,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1830,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1831,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1832,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1833,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1834,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1835,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1836,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1837,Airtel DTH are good but Technician service totally bad...
1838,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1839,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1840,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1841,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1842,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1843,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1844,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1845,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1846,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1847,Airtel DTH are good but Technician service totally bad...
1848,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1849,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1850,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1851,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1852,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1853,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1854,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1855,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1856,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1857,Airtel DTH are good but Technician service totally bad...
1858,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1859,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1860,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1861,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1862,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1863,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1864,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1865,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1866,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1867,Airtel DTH are good but Technician service totally bad...
1868,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1869,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1870,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1871,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1872,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1873,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1874,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1875,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1876,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1877,Airtel DTH are good but Technician service totally bad...
1878,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1879,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1880,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1881,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1882,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1883,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1884,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1885,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1886,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1887,Airtel DTH are good but Technician service totally bad...
1888,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1889,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1890,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1891,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1892,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1893,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1894,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1895,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1896,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1897,Airtel DTH are good but Technician service totally bad...
1898,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1899,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1900,"Everything is fine except that we can't see the signal strength and quality through the tv which is difficult during installation, and as for the service very poor no one was willing to come for installation of my dish I have to pick it up all by myself and call a local technician for Installation and pay him 500 extra.... The company should compensate for my loss by top up my dish"
1901,Delivery of Amazon is good but airtel customer support is not good bcoz after installation of dth it take 3-4 hours to view channels also some channels has not display correctly. I also call airtel customer executive but no one solve this issue.
1902,I chose 1 day delivery but product was installed the next day. Picture quality is really good ( HD channels). On my 4K TV the content is just fantastic. Good upscaling without losing clarity. Technician charged Rs.200 for installation. Still it was beneficial than getting it done from a local dealer. 1 month subscription was free. You can use My airtel app and login with registered mobile number to add or remove channels. Satisfied.
1903,Excellent service. I ordered it at approximate 2:00PM and second day afternoon time installation work done. Before buying Airtel dth connection i was used Dish tv connection but due to poor service and negative care response i have switched with Airtel. Picture clarity is Superb. Also Dolby digital sound improved more clister clear Entertainment. I am Very Happy to buy this Product. Thank you Amazon for providing Good service and thanks to seller for quick delivery service.
1904,"Value for money. I had enquired at Airtel customer center and they insisted to get xtream connection, on Airtel app I could see HD setup box but it was Rs 1300, on Amazon I got it at Rs 1000 for HD setup box. Product was delivered within 24 hours and free installation was done. We get 1 month free FTA pack along with setup box. Good product and good service. I recommend it."
1905,Over all good but Installed time too let tray to purchase on your local markets and same day Installed your home
1906,Inspite of delivery shown in 3 days the guy came on same day and installedGiven 40 rs extra for 5 meter wire Only free channel are activated but you can change the planRs 158 is added by default for FTH channelsThere options to add more channel or change packSeller service is slow
1907,Airtel DTH are good but Technician service totally bad...
1908,The product was good and I m totally satisfied with it. The service person from airtel for connection who comes he was also humble and in his good terms the work which he does was remarkable. Thanks airtel dth for the services and amazon for the delivery on time.
1909,"Fast delivery but, they insatall my DTH is very let , I'm worry about their let installation, they not pick up my call also , now installation is complete but let , I'm worry , but thanks alote"
1910,"1. Either HDMI or AV cable provided based on your TV input2. You can not change the channel list which is offering with this product. After the end date of the offered channel package, you can change the channel list.3. If you have concealed wiring, then you need to have a electric mechanic ready. The person who will come for installation will not insert the cable into the concealed pipe.4. After installation, the dish tv connection will start within a minute.5. The build quality of the set-top box is good.6. The UX of the menu structure can be more user friendly. Like - before opening any channel it can display whether you have opted-in for the channel or not OR while opening the channel list, it can retain the present selection so that it would be easier for the end user to browse the menu from the last state."
1911,I really had a bad experience about this purchase of Dishtv connection. The installation was very poor quality as result programs were not clear due weak signal. Complained to Dishtv for service support and today one technician came and informed that LMV supplied was old model and even wall mounting of frame was improper and loose. Assured to come tomorrow with New LMV and set the picture quality to acceptable level. This is condition in just 3 months of purchase.
1912,Good quality
1913,"Every thing was superfine,prompt delivery,product quality but in a dish tv main thing is the LNB which receives the signal,it shoul be original brand to maintain best quality picture and product life. I got a non dish tv brand LNB with my order, i got a local brand LNB installed with my original dish tv connection. It should be looked after by the company to maintain its reputation."
1914,GOOD QUALITY PRODUCT AMAZING PRODUCT FROM AMAZON.THANKS AMAZON FOR FAST DELIVERED AND FREE INSTALLATION. ALSO DISH TV SERVICE IS EXCELLENT. MUST GO FOR IT..
1915,SUPERB
1916,Excellent
1917,Really it's very fast delivered on next day of order and installation without any delay..Nice product .
1918,Awesome and Supperfast service by Amazon
1919,best service
